#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 140  64
# Band-Index    1
   0.00000    -15.725533    -15.717392
   0.03104    -15.724224    -15.716126
   0.06208    -15.720303    -15.712334
   0.09312    -15.713793    -15.706038
   0.12416    -15.704740    -15.697285
   0.15520    -15.693209    -15.686134
   0.18625    -15.679288    -15.672674
   0.21729    -15.663078    -15.657001
   0.24833    -15.644721    -15.639256
   0.27937    -15.624371    -15.619584
   0.31041    -15.602235    -15.598188
   0.34145    -15.578554    -15.575299
   0.37249    -15.553645    -15.551220
   0.40353    -15.527918    -15.526345
   0.43457    -15.501933    -15.501210
   0.46561    -15.476499    -15.476588
   0.49665    -15.452825    -15.453640
   0.52769    -15.432743    -15.434139
   0.55874    -15.418810    -15.420580
   0.58978    -15.413743    -15.415640
   0.58978    -15.413743    -15.415637
   0.62082    -15.418808    -15.420575
   0.65186    -15.432736    -15.434130
   0.68290    -15.452813    -15.453627
   0.71395    -15.476485    -15.476572
   0.74499    -15.501917    -15.501192
   0.77603    -15.527901    -15.526327
   0.80708    -15.553630    -15.551203
   0.83812    -15.578540    -15.575283
   0.86916    -15.602223    -15.598175
   0.90020    -15.624360    -15.619572
   0.93125    -15.644713    -15.639247
   0.96229    -15.663071    -15.656994
   0.99333    -15.679282    -15.672668
   1.02437    -15.693205    -15.686130
   1.05542    -15.704738    -15.697282
   1.08646    -15.713791    -15.706036
   1.11750    -15.720303    -15.712333
   1.14854    -15.724224    -15.716125
   1.17959    -15.725533    -15.717392
   1.17959    -15.725533    -15.717392
   1.18683    -15.725534    -15.717392
   1.19408    -15.725534    -15.717392
   1.20133    -15.725536    -15.717395
   1.20857    -15.725538    -15.717397
   1.21582    -15.725537    -15.717396
   1.22306    -15.725538    -15.717397
   1.23031    -15.725539    -15.717397
   1.23756    -15.725538    -15.717397
   1.24480    -15.725538    -15.717397
   1.25205    -15.725538    -15.717397
   1.25929    -15.725539    -15.717397
   1.26654    -15.725539    -15.717398
   1.27379    -15.725539    -15.717398
   1.28103    -15.725539    -15.717398
   1.28828    -15.725541    -15.717400
   1.29553    -15.725541    -15.717400
   1.30277    -15.725540    -15.717399
   1.31002    -15.725539    -15.717398
   1.31726    -15.725539    -15.717399
   1.31726    -15.415689    -15.417523
   1.37153    -15.412085    -15.414074
   1.42579    -15.401350    -15.403801
   1.48005    -15.383705    -15.386919
   1.53432    -15.359514    -15.363779
   1.58858    -15.329290    -15.334879
   1.64284    -15.293696    -15.300858
   1.69711    -15.306560    -15.313190
   1.75137    -15.352455    -15.357262
   1.80563    -15.401619    -15.404590
   1.85990    -15.451949    -15.453109
   1.91416    -15.501575    -15.500991
   1.96842    -15.548881    -15.546662
   2.02269    -15.592490    -15.588786
   2.07695    -15.631252    -15.626240
