kpoint_index,kpoint_label,kpoint_distance,band_index,energy_eV,spin
0,GAMMA,0.0,1,-19.928,1
0,GAMMA,0.0,2,-19.0989,1
0,GAMMA,0.0,3,-19.0331,1
0,GAMMA,0.0,4,-19.0327,1
0,GAMMA,0.0,5,-18.8855,1
0,GAMMA,0.0,6,-18.8854,1
0,GAMMA,0.0,7,-9.6801,1
0,GAMMA,0.0,8,-9.1927,1
0,GAMMA,0.0,9,-8.7583,1
0,GAMMA,0.0,10,-8.7541,1
0,GAMMA,0.0,11,-8.6978,1
0,GAMMA,0.0,12,-8.6908,1
0,GAMMA,0.0,13,-8.3808,1
0,GAMMA,0.0,14,-8.3773,1
0,GAMMA,0.0,15,-8.295,1
0,GAMMA,0.0,16,-7.5465,1
0,GAMMA,0.0,17,-7.543,1
0,GAMMA,0.0,18,-7.5389,1
0,GAMMA,0.0,19,-6.703,1
0,GAMMA,0.0,20,-6.4384,1
0,GAMMA,0.0,21,-6.3942,1
0,GAMMA,0.0,22,-6.3892,1
0,GAMMA,0.0,23,-6.139,1
0,GAMMA,0.0,24,-6.1363,1
0,GAMMA,0.0,25,-5.5388,1
0,GAMMA,0.0,26,-5.183,1
0,GAMMA,0.0,27,-5.1826,1
0,GAMMA,0.0,28,-5.0534,1
0,GAMMA,0.0,29,-4.9351,1
0,GAMMA,0.0,30,-4.9338,1
0,GAMMA,0.0,31,-3.2326,1
0,GAMMA,0.0,32,-3.2306,1
0,GAMMA,0.0,33,-2.938,1
0,GAMMA,0.0,34,-2.9379,1
0,GAMMA,0.0,35,0.9367,1
0,GAMMA,0.0,36,1.58,1
0,GAMMA,0.0,37,2.0196,1
0,GAMMA,0.0,38,2.5171,1
0,GAMMA,0.0,39,2.7095,1
0,GAMMA,0.0,40,2.9911,1
0,GAMMA,0.0,41,2.9971,1
0,GAMMA,0.0,42,4.065,1
0,GAMMA,0.0,1,-19.9199,-1
0,GAMMA,0.0,2,-19.1287,-1
0,GAMMA,0.0,3,-19.0617,-1
0,GAMMA,0.0,4,-19.0612,-1
0,GAMMA,0.0,5,-18.9103,-1
0,GAMMA,0.0,6,-18.9102,-1
0,GAMMA,0.0,7,-9.4441,-1
0,GAMMA,0.0,8,-8.9244,-1
0,GAMMA,0.0,9,-8.5604,-1
0,GAMMA,0.0,10,-8.5563,-1
0,GAMMA,0.0,11,-8.3971,-1
0,GAMMA,0.0,12,-8.3893,-1
0,GAMMA,0.0,13,-8.2567,-1
