teste,iteracao,energia_eV,rms_total,rms_broyden,rms_prec
4x4x2,1,433.97960111,1.9206,1.9206,2.0241
4x4x2,2,2.70132226,2.1157,2.1157,2.1984
4x4x2,3,-41.94526721,0.89197,0.89196,0.8996
4x4x2,4,-42.97189674,0.4112,0.4112,0.41564
4x4x2,5,-42.97392141,0.18126,0.18126,0.18679
4x4x2,6,-36.68137761,0.11425,0.11425,0.1149
4x4x2,7,-34.4315923,0.090345,0.090345,0.091216
4x4x2,8,-34.82698511,0.061534,0.061533,0.061842
4x4x2,9,-36.1604133,0.035605,0.035605,0.036041
4x4x2,10,-36.82790077,0.019374,0.019374,0.02087
4x4x2,11,-37.58004613,0.010292,0.010292,0.011707
4x4x2,12,-38.21243381,0.0056888,0.0056888,0.007129
4x4x2,13,-38.51509764,0.0043553,0.0043553,0.0053609
4x4x2,14,-38.65471792,0.0023146,0.0023146,0.0032235
4x4x2,15,-38.75709081,0.0011023,0.0011023,0.0018828
4x4x2,16,-38.77320338,0.0010084,0.0010084,0.0014836
4x4x2,17,-38.78261124,0.00075064,0.00075064,0.0010562
4x4x2,18,-38.78464002,0.00037054,0.00037054,0.00053761
4x4x2,19,-38.78557061,0.00025713,0.00025712,0.0003608
4x4x2,20,-38.78616233,0.00017507,0.00017507,0.00025378
4x4x2,21,-38.78654838,0.00010624,0.00010624,0.00013932
4x4x2,22,-38.78679577,5.9036e-05,5.9036e-05,6.9731e-05
4x4x2,23,-38.78685495,3.4197e-05,3.4197e-05,4.3726e-05
4x4x2,24,-38.78687904,2.2757e-05,2.2757e-05,2.7989e-05
4x4x2,25,-38.78691239,8.4442e-06,8.4442e-06,9.8807e-06
