teste,iteracao,energia_eV,rms_total,rms_broyden,rms_prec
300,1,370.75855804,1.9198,1.9172,2.0207
300,2,-12.88656888,2.1229,2.1224,2.2043
300,3,-42.33384287,0.89544,0.89484,0.90212
300,4,-42.95620882,0.41545,0.41542,0.41947
300,5,-42.95655521,0.18152,0.18146,0.18723
300,6,-36.57747444,0.11446,0.11445,0.11509
300,7,-34.32129098,0.090579,0.090568,0.091366
300,8,-34.29041694,0.0602,0.060195,0.060542
300,9,-35.97334706,0.033731,0.033729,0.034252
300,10,-36.60644108,0.020336,0.020331,0.021954
300,11,-37.45159841,0.0101,0.010098,0.011634
300,12,-38.14255765,0.0053022,0.005299,0.0067229
300,13,-38.45700025,0.0043915,0.0043901,0.00538
300,14,-38.65540757,0.0024775,0.0024774,0.0033275
300,15,-38.75213123,0.0010748,0.0010741,0.0018213
300,16,-38.76892644,0.0010918,0.0010915,0.0015479
300,17,-38.77626896,0.00070215,0.00070206,0.00097983
300,18,-38.7781807,0.00042748,0.00042733,0.000587
300,19,-38.77906874,0.00023689,0.00023686,0.00035072
300,20,-38.77958909,0.00019523,0.00019523,0.00026537
300,21,-38.78000054,0.00011826,0.00011825,0.00014856
300,22,-38.78015357,6.6478e-05,6.6472e-05,7.5229e-05
300,23,-38.78022684,3.6196e-05,3.6189e-05,4.4527e-05
300,24,-38.78025837,2.0851e-05,2.0849e-05,2.629e-05
300,25,-38.78029155,8.396e-06,8.3933e-06,1.0103e-05
350,1,387.5850491,1.915,1.9141,2.0179
350,2,-8.50871537,2.1123,2.1121,2.1948
350,3,-42.29594239,0.88648,0.88629,0.89389
350,4,-42.97075479,0.41123,0.41122,0.41556
350,5,-42.97132832,0.18179,0.18177,0.18738
350,6,-36.65585785,0.11462,0.11462,0.11529
350,7,-34.31747632,0.090521,0.090517,0.091348
350,8,-34.37262456,0.060919,0.060918,0.061239
350,9,-35.97574971,0.034633,0.034632,0.035108
350,10,-36.6753348,0.020335,0.020334,0.021912
350,11,-37.48341411,0.010172,0.010171,0.011695
350,12,-38.16397865,0.0053532,0.0053522,0.006798
350,13,-38.45313417,0.0043663,0.0043659,0.0053777
350,14,-38.65783966,0.0024637,0.0024636,0.0033268
350,15,-38.75747846,0.0010742,0.001074,0.0018441
350,16,-38.77440209,0.0011049,0.0011048,0.0015471
350,17,-38.78202442,0.00071679,0.00071674,0.00099194
350,18,-38.78403407,0.00042688,0.00042683,0.00059077
350,19,-38.78490093,0.0002343,0.00023429,0.00034699
350,20,-38.78547494,0.00018681,0.00018681,0.00025839
350,21,-38.78587212,0.00011189,0.00011189,0.00014336
