E,DOS_total,DOS_up,DOS_down
-21.2904,0.0,0.0,0.0
-21.1905,0.0,0.0,0.0
-21.0906,0.0,0.0,0.0
-20.9907,0.0,0.0,0.0
-20.8908,0.0,0.0,0.0
-20.7909,0.0,0.0,0.0
-20.691,0.0,0.0,0.0
-20.5911,0.0,0.0,0.0
-20.4911,0.0,0.0,0.0
-20.3912,0.0,0.0,0.0
-20.2913,0.0,0.0,0.0
-20.1914,0.0005,0.0003,0.0002
-20.0915,0.0548,0.0316,0.0232
-19.9916,1.1243,0.6094,0.5149
-19.8917,4.529,2.3125,2.2165
-19.7918,4.9283,2.4082,2.5201
-19.6918,3.4997,1.7083,1.7914
-19.5919,3.3533999999999997,1.6554,1.698
-19.492,2.5322,1.2373,1.2949
-19.3921,2.7615,1.3129,1.4486
-19.2922,3.5109,1.7016,1.8093
-19.1923,5.7544,2.3819,3.3725
-19.0924,17.9999,7.842,10.1579
-18.9925,28.0702,13.9344,14.1358
-18.8926,26.7411,13.8874,12.8537
-18.7926,13.4266,7.805,5.6216
-18.6927,1.7738999999999998,1.1903,0.5836
-18.5928,0.045700000000000005,0.0347,0.011
-18.4929,0.0002,0.0002,0.0
-18.393,0.0,0.0,0.0
-18.2931,0.0,0.0,0.0
-18.1932,0.0,0.0,0.0
-18.0933,0.0,0.0,0.0
-17.9934,0.0,0.0,0.0
-17.8934,0.0,0.0,0.0
-17.7935,0.0,0.0,0.0
-17.6936,0.0,0.0,0.0
-17.5937,0.0,0.0,0.0
-17.4938,0.0,0.0,0.0
-17.3939,0.0,0.0,0.0
-17.294,0.0,0.0,0.0
-17.1941,0.0,0.0,0.0
-17.0942,0.0,0.0,0.0
-16.9942,0.0,0.0,0.0
-16.8943,0.0,0.0,0.0
-16.7944,0.0,0.0,0.0
-16.6945,0.0,0.0,0.0
-16.5946,0.0,0.0,0.0
-16.4947,0.0,0.0,0.0
-16.3948,0.0,0.0,0.0
-16.2949,0.0,0.0,0.0
-16.195,0.0,0.0,0.0
-16.095,0.0,0.0,0.0
-15.9951,0.0,0.0,0.0
-15.8952,0.0,0.0,0.0
-15.7953,0.0,0.0,0.0
-15.6954,0.0,0.0,0.0
-15.5955,0.0,0.0,0.0
-15.4956,0.0,0.0,0.0
-15.3957,0.0,0.0,0.0
-15.2957,0.0,0.0,0.0
-15.1958,0.0,0.0,0.0
-15.0959,0.0,0.0,0.0
-14.996,0.0,0.0,0.0
-14.8961,0.0,0.0,0.0
-14.7962,0.0,0.0,0.0
-14.6963,0.0,0.0,0.0
-14.5964,0.0,0.0,0.0
-14.4965,0.0,0.0,0.0
-14.3965,0.0,0.0,0.0
-14.2966,0.0,0.0,0.0
-14.1967,0.0,0.0,0.0
-14.0968,0.0,0.0,0.0
-13.9969,0.0,0.0,0.0
-13.897,0.0,0.0,0.0
-13.7971,0.0,0.0,0.0
-13.6972,0.0,0.0,0.0
-13.5973,0.0,0.0,0.0
-13.4973,0.0,0.0,0.0
-13.3974,0.0,0.0,0.0
-13.2975,0.0,0.0,0.0
-13.1976,0.0,0.0,0.0
-13.0977,0.0,0.0,0.0
-12.9978,0.0,0.0,0.0
-12.8979,0.0,0.0,0.0
-12.798,0.0,0.0,0.0
-12.6981,0.0,0.0,0.0
-12.5981,0.0,0.0,0.0
-12.4982,0.0,0.0,0.0
-12.3983,0.0,0.0,0.0
-12.2984,0.0,0.0,0.0
-12.1985,0.0,0.0,0.0
-12.0986,0.0,0.0,0.0
-11.9987,0.0,0.0,0.0
-11.8988,0.0,0.0,0.0
-11.7988,0.0,0.0,0.0
-11.6989,0.0,0.0,0.0
-11.599,0.0,0.0,0.0
-11.4991,0.0,0.0,0.0
-11.3992,0.0,0.0,0.0
-11.2993,0.0,0.0,0.0
-11.1994,0.0,0.0,0.0
-11.0995,0.0,0.0,0.0
-10.9996,0.0,0.0,0.0
-10.8996,0.0,0.0,0.0
-10.7997,0.0,0.0,0.0
-10.6998,0.0,0.0,0.0
-10.5999,0.0,0.0,0.0
-10.5,0.0,0.0,0.0
-10.4001,0.0,0.0,0.0
-10.3002,0.0,0.0,0.0
-10.2003,0.0,0.0,0.0
-10.1004,0.0,0.0,0.0
-10.0004,0.0,0.0,0.0
-9.9005,0.0035,0.0035,0.0
